LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHE,INTERNET,TOT,PC_HH,A,2015,NaN,
CHE,INTERNET,TOT,PC_HH,A,2016,NaN,
CHE,INTERNET,TOT,PC_HH,A,2017,93.0608,B
CHE,INTERNET,TOT,PC_HH,A,2018,NaN,
CHE,INTERNET,TOT,PC_HH,A,2019,95.509064,
CHE,INTERNET,TOT,PC_HH,A,2020,NaN,
USA,INTERNET,TOT,PC_HH,A,2011,71.7,
USA,INTERNET,TOT,PC_HH,A,2012,74.76,
USA,INTERNET,TOT,PC_HH,A,2013,74.15,
USA,INTERNET,TOT,PC_HH,A,2014,NaN,
USA,INTERNET,TOT,PC_HH,A,2015,73.37,
USA,INTERNET,TOT,PC_HH,A,2016,NaN,
USA,INTERNET,TOT,PC_HH,A,2017,77.97,
USA,INTERNET,TOT,PC_HH,A,2018,NaN,
USA,INTERNET,TOT,PC_HH,A,2019,79.88,
USA,INTERNET,TOT,PC_HH,A,2020,NaN,
MEX,INTERNET,TOT,PC_HH,A,2011,23.27,
MEX,INTERNET,TOT,PC_HH,A,2012,25.97,
MEX,INTERNET,TOT,PC_HH,A,2013,30.74345946,
MEX,INTERNET,TOT,PC_HH,A,2014,34.39273866,
MEX,INTERNET,TOT,PC_HH,A,2015,39.17773854,
MEX,INTERNET,TOT,PC_HH,A,2016,47.01712112,
MEX,INTERNET,TOT,PC_HH,A,2017,50.92262118,
MEX,INTERNET,TOT,PC_HH,A,2018,52.8646296,
MEX,INTERNET,TOT,PC_HH,A,2019,56.35686892,
MEX,INTERNET,TOT,PC_HH,A,2020,60.55397014,
NOR,INTERNET,TOT,PC_HH,A,2011,92.2364,
NOR,INTERNET,TOT,PC_HH,A,2012,92.6922,
NOR,INTERNET,TOT,PC_HH,A,2013,94.2851,
NOR,INTERNET,TOT,PC_HH,A,2014,93.0669,
NOR,INTERNET,TOT,PC_HH,A,2015,96.6041,
NOR,INTERNET,TOT,PC_HH,A,2016,97.0455,
NOR,INTERNET,TOT,PC_HH,A,2017,96.6549,
NOR,INTERNET,TOT,PC_HH,A,2018,96.0131,
NOR,INTERNET,TOT,PC_HH,A,2019,98.3832,
NOR,INTERNET,TOT,PC_HH,A,2020,96.1982,
SVK,INTERNET,TOT,PC_HH,A,2011,70.78,
SVK,INTERNET,TOT,PC_HH,A,2012,75.4354,
SVK,INTERNET,TOT,PC_HH,A,2013,77.9076,
SVK,INTERNET,TOT,PC_HH,A,2014,78.352,
SVK,INTERNET,TOT,PC_HH,A,2015,79.4791,
SVK,INTERNET,TOT,PC_HH,A,2016,80.5191,
SVK,INTERNET,TOT,PC_HH,A,2017,81.3251,
SVK,INTERNET,TOT,PC_HH,A,2018,80.8442,
SVK,INTERNET,TOT,PC_HH,A,2019,82.1911,
SVK,INTERNET,TOT,PC_HH,A,2020,85.7787,
ISR,INTERNET,TOT,PC_HH,A,2011,70.30230145,
ISR,INTERNET,TOT,PC_HH,A,2012,70.65,
ISR,INTERNET,TOT,PC_HH,A,2013,70.6,
ISR,INTERNET,TOT,PC_HH,A,2014,72.07,D
ISR,INTERNET,TOT,PC_HH,A,2015,74.29,D
ISR,INTERNET,TOT,PC_HH,A,2016,75.37,D
ISR,INTERNET,TOT,PC_HH,A,2017,74.06,
ISR,INTERNET,TOT,PC_HH,A,2018,74.94,D
ISR,INTERNET,TOT,PC_HH,A,2019,75.9,D
ISR,INTERNET,TOT,PC_HH,A,2020,NaN,
HUN,INTERNET,TOT,PC_HH,A,2011,63.2174,
HUN,INTERNET,TOT,PC_HH,A,2012,66.8127,
HUN,INTERNET,TOT,PC_HH,A,2013,69.6587,
HUN,INTERNET,TOT,PC_HH,A,2014,73.062,
HUN,INTERNET,TOT,PC_HH,A,2015,75.6375,
HUN,INTERNET,TOT,PC_HH,A,2016,79.1842,
HUN,INTERNET,TOT,PC_HH,A,2017,82.3511,
HUN,INTERNET,TOT,PC_HH,A,2018,83.3089,
HUN,INTERNET,TOT,PC_HH,A,2019,86.2009,
HUN,INTERNET,TOT,PC_HH,A,2020,87.6308,
ITA,INTERNET,TOT,PC_HH,A,2011,61.5733,
ITA,INTERNET,TOT,PC_HH,A,2012,62.9165,
ITA,INTERNET,TOT,PC_HH,A,2013,68.9144,
ITA,INTERNET,TOT,PC_HH,A,2014,72.6141,
ITA,INTERNET,TOT,PC_HH,A,2015,75.3897,
ITA,INTERNET,TOT,PC_HH,A,2016,78.51,
ITA,INTERNET,TOT,PC_HH,A,2017,81.0244,
ITA,INTERNET,TOT,PC_HH,A,2018,84.3384,
ITA,INTERNET,TOT,PC_HH,A,2019,85.1726,
ITA,INTERNET,TOT,PC_HH,A,2020,88.1032,
LUX,INTERNET,TOT,PC_HH,A,2011,90.6208,
LUX,INTERNET,TOT,PC_HH,A,2012,93.08,
LUX,INTERNET,TOT,PC_HH,A,2013,94.4593,
LUX,INTERNET,TOT,PC_HH,A,2014,95.5568,
LUX,INTERNET,TOT,PC_HH,A,2015,96.7802,
LUX,INTERNET,TOT,PC_HH,A,2016,97.035,
LUX,INTERNET,TOT,PC_HH,A,2017,97.2252,
LUX,INTERNET,TOT,PC_HH,A,2018,92.9859,B
LUX,INTERNET,TOT,PC_HH,A,2019,95.1973,
